,Name,Price,Size,Age,Floors,Bedroom,Location,Tags,Time
0,英明國中一樓整新門口停車美寓,12600000 NT$,19.73 坪,43.3 年,1,3,高雄市,"免爬樓梯, 裝潢美宅, 近輕軌站, 近商圈",
1,輕軌凱旋二聖站翻新面寬店住一樓+夾層,12600000 NT$,23.82 坪,43.7 年,1,3,高雄市,"廁所開窗, 雙衛浴, 免爬樓梯, 裝潢美宅",
2,市政府 國民市場全翻新大兩房雙衛浴美寓,6980000 NT$,21.77 坪,44.8 年,3,2,高雄市,"雙衛浴, 裝潢美宅, 近商圈",
3,武廟商圈公寓一樓平車,13800000 NT$,40.5 坪,40.4 年,1,4,高雄市,"平面車位, 免爬樓梯, 近交流道, 近商圈",
4,武廟\/福德商圈4+5樓寧靜美公寓,3980000 NT$,14.74 坪,55.6 年,4,3,高雄市,近商圈,
5,英明國中超值店面超美住宅﹝騎樓可停車﹞,12600000 NT$,23.82 坪,43.7 年,1,3,高雄市,"免爬樓梯, 裝潢美宅, 近學區",
6,正文化中心邊間三角窗吃市店面,23990000 NT$,20.79 坪,44.7 年,1,0,高雄市,"邊間, 宜收租, 免爬樓梯, 近商圈",
7,捷運商圈新整美寓,3880000 NT$,14 坪,45.1 年,5,2,高雄市,近商圈,
8,C30科工館站質感翻新三房,5980000 NT$,22.72 坪,44.4 年,5,3,高雄市,"採光佳, 宜收租, 裝潢美宅",
9,1113苓雅區✨英明商圈✨超便宜公寓2樓,4200000 NT$,22.1 坪,47.1 年,2,3,高雄市,"近輕軌站, 近學區, 近商圈",
10,正義車站優質公寓3房,4980000 NT$,20.35 坪,44.9 年,4,3,高雄市,近學區,
11,武廟雙捷運三房+平面車位,13800000 NT$,40.5 坪,40.1 年,1,3,高雄市,"平面車位, 免爬樓梯, 邊間, 近交流道",
12,光華商圈翻新一樓車庫美寓,13600000 NT$,23.31 坪,48.1 年,1,3,高雄市,"邊間, 免爬樓梯, 裝潢美宅, 大面寬, 近商圈",
13,凱旋輕軌三面採光3套房大公寓,5880000 NT$,24.27 坪,45 年,4,3,高雄市,"三面採光, 前後陽台, 永久棟距, 近學區, 格局方正",
14,文化中心美3房,4680000 NT$,18.61 坪,46.2 年,3,3,高雄市,,
15,衛武營全新翻修大3房,6380000 NT$,27.22 坪,45.8 年,5,3,高雄市,"廁所開窗, 雙衛浴, 裝潢美宅, 近學區",
16,輕軌環球影城四房邊間公寓一樓\t\t\t\t\t\t\t\t\t\t\t,14600000 NT$,21.21 坪,29.6 年,1,3,高雄市,"採光佳, 邊間, 免爬樓梯, 近商圈",
17,✨亞洲新灣區｜輕軌宅 ｜價格超甜✨ 4房美寓️,7580000 NT$,30.86 坪,36.5 年,4,4,高雄市,"近捷運, 近輕軌站, 近商圈",
18,✅極力推薦✅英明國中公寓一樓(有故事的房),7980000 NT$,19.51 坪,45.3 年,1,3,高雄市,免爬樓梯,
19,英明國中一樓整新門口停車美寓,12600000 NT$,19.73 坪,43.3 年,1,3,高雄市,"免爬樓梯, 裝潢美宅, 近輕軌站, 近商圈",
20,輕軌凱旋二聖站翻新面寬店住一樓+夾層,12600000 NT$,23.82 坪,43.7 年,1,3,高雄市,"廁所開窗, 雙衛浴, 免爬樓梯, 裝潢美宅",
21,市政府 國民市場全翻新大兩房雙衛浴美寓,6980000 NT$,21.77 坪,44.8 年,3,2,高雄市,"雙衛浴, 裝潢美宅, 近商圈",
22,武廟商圈公寓一樓平車,13800000 NT$,40.5 坪,40.4 年,1,4,高雄市,"平面車位, 免爬樓梯, 近交流道, 近商圈",
23,武廟\/福德商圈4+5樓寧靜美公寓,3980000 NT$,14.74 坪,55.6 年,4,3,高雄市,近商圈,
24,英明國中超值店面超美住宅﹝騎樓可停車﹞,12600000 NT$,23.82 坪,43.7 年,1,3,高雄市,"免爬樓梯, 裝潢美宅, 近學區",
25,正文化中心邊間三角窗吃市店面,23990000 NT$,20.79 坪,44.7 年,1,0,高雄市,"邊間, 宜收租, 免爬樓梯, 近商圈",
26,捷運商圈新整美寓,3880000 NT$,14 坪,45.1 年,5,2,高雄市,近商圈,
27,C30科工館站質感翻新三房,5980000 NT$,22.72 坪,44.4 年,5,3,高雄市,"採光佳, 宜收租, 裝潢美宅",
28,1113苓雅區✨英明商圈✨超便宜公寓2樓,4200000 NT$,22.1 坪,47.1 年,2,3,高雄市,"近輕軌站, 近學區, 近商圈",
29,正義車站優質公寓3房,4980000 NT$,20.35 坪,44.9 年,4,3,高雄市,近學區,
30,武廟雙捷運三房+平面車位,13800000 NT$,40.5 坪,40.1 年,1,3,高雄市,"平面車位, 免爬樓梯, 邊間, 近交流道",
31,光華商圈翻新一樓車庫美寓,13600000 NT$,23.31 坪,48.1 年,1,3,高雄市,"邊間, 免爬樓梯, 裝潢美宅, 大面寬, 近商圈",
32,凱旋輕軌三面採光3套房大公寓,5880000 NT$,24.27 坪,45 年,4,3,高雄市,"三面採光, 前後陽台, 永久棟距, 近學區, 格局方正",
33,文化中心美3房,4680000 NT$,18.61 坪,46.2 年,3,3,高雄市,,
34,衛武營全新翻修大3房,6380000 NT$,27.22 坪,45.8 年,5,3,高雄市,"廁所開窗, 雙衛浴, 裝潢美宅, 近學區",
35,輕軌環球影城四房邊間公寓一樓\t\t\t\t\t\t\t\t\t\t\t,14600000 NT$,21.21 坪,29.6 年,1,3,高雄市,"採光佳, 邊間, 免爬樓梯, 近商圈",
36,✨亞洲新灣區｜輕軌宅 ｜價格超甜✨ 4房美寓️,7580000 NT$,30.86 坪,36.5 年,4,4,高雄市,"近捷運, 近輕軌站, 近商圈",
37,✅極力推薦✅英明國中公寓一樓(有故事的房),7980000 NT$,19.51 坪,45.3 年,1,3,高雄市,免爬樓梯,
38,英明國中一樓整新門口停車美寓,12600000 NT$,19.73 坪,43.3 年,1,3,高雄市,"免爬樓梯, 裝潢美宅, 近輕軌站, 近商圈",
39,輕軌凱旋二聖站翻新面寬店住一樓+夾層,12600000 NT$,23.82 坪,43.7 年,1,3,高雄市,"廁所開窗, 雙衛浴, 免爬樓梯, 裝潢美宅",
40,市政府 國民市場全翻新大兩房雙衛浴美寓,6980000 NT$,21.77 坪,44.8 年,3,2,高雄市,"雙衛浴, 裝潢美宅, 近商圈",
41,武廟商圈公寓一樓平車,13800000 NT$,40.5 坪,40.4 年,1,4,高雄市,"平面車位, 免爬樓梯, 近交流道, 近商圈",
42,武廟\/福德商圈4+5樓寧靜美公寓,3980000 NT$,14.74 坪,55.6 年,4,3,高雄市,近商圈,
43,英明國中超值店面超美住宅﹝騎樓可停車﹞,12600000 NT$,23.82 坪,43.7 年,1,3,高雄市,"免爬樓梯, 裝潢美宅, 近學區",
44,正文化中心邊間三角窗吃市店面,23990000 NT$,20.79 坪,44.7 年,1,0,高雄市,"邊間, 宜收租, 免爬樓梯, 近商圈",
45,捷運商圈新整美寓,3880000 NT$,14 坪,45.1 年,5,2,高雄市,近商圈,
46,C30科工館站質感翻新三房,5980000 NT$,22.72 坪,44.4 年,5,3,高雄市,"採光佳, 宜收租, 裝潢美宅",
47,1113苓雅區✨英明商圈✨超便宜公寓2樓,4200000 NT$,22.1 坪,47.1 年,2,3,高雄市,"近輕軌站, 近學區, 近商圈",
48,正義車站優質公寓3房,4980000 NT$,20.35 坪,44.9 年,4,3,高雄市,近學區,
49,武廟雙捷運三房+平面車位,13800000 NT$,40.5 坪,40.1 年,1,3,高雄市,"平面車位, 免爬樓梯, 邊間, 近交流道",
50,光華商圈翻新一樓車庫美寓,13600000 NT$,23.31 坪,48.1 年,1,3,高雄市,"邊間, 免爬樓梯, 裝潢美宅, 大面寬, 近商圈",
51,凱旋輕軌三面採光3套房大公寓,5880000 NT$,24.27 坪,45 年,4,3,高雄市,"三面採光, 前後陽台, 永久棟距, 近學區, 格局方正",
52,文化中心美3房,4680000 NT$,18.61 坪,46.2 年,3,3,高雄市,,
53,衛武營全新翻修大3房,6380000 NT$,27.22 坪,45.8 年,5,3,高雄市,"廁所開窗, 雙衛浴, 裝潢美宅, 近學區",
54,輕軌環球影城四房邊間公寓一樓\t\t\t\t\t\t\t\t\t\t\t,14600000 NT$,21.21 坪,29.6 年,1,3,高雄市,"採光佳, 邊間, 免爬樓梯, 近商圈",
55,✨亞洲新灣區｜輕軌宅 ｜價格超甜✨ 4房美寓️,7580000 NT$,30.86 坪,36.5 年,4,4,高雄市,"近捷運, 近輕軌站, 近商圈",
56,✅極力推薦✅英明國中公寓一樓(有故事的房),7980000 NT$,19.51 坪,45.3 年,1,3,高雄市,免爬樓梯,
57,英明國中一樓整新門口停車美寓,12600000 NT$,19.73 坪,43.3 年,1,3,高雄市,"免爬樓梯, 裝潢美宅, 近輕軌站, 近商圈",
58,輕軌凱旋二聖站翻新面寬店住一樓+夾層,12600000 NT$,23.82 坪,43.7 年,1,3,高雄市,"廁所開窗, 雙衛浴, 免爬樓梯, 裝潢美宅",
59,市政府 國民市場全翻新大兩房雙衛浴美寓,6980000 NT$,21.77 坪,44.8 年,3,2,高雄市,"雙衛浴, 裝潢美宅, 近商圈",
60,武廟商圈公寓一樓平車,13800000 NT$,40.5 坪,40.4 年,1,4,高雄市,"平面車位, 免爬樓梯, 近交流道, 近商圈",
61,武廟\/福德商圈4+5樓寧靜美公寓,3980000 NT$,14.74 坪,55.6 年,4,3,高雄市,近商圈,
62,英明國中超值店面超美住宅﹝騎樓可停車﹞,12600000 NT$,23.82 坪,43.7 年,1,3,高雄市,"免爬樓梯, 裝潢美宅, 近學區",
63,正文化中心邊間三角窗吃市店面,23990000 NT$,20.79 坪,44.7 年,1,0,高雄市,"邊間, 宜收租, 免爬樓梯, 近商圈",
64,捷運商圈新整美寓,3880000 NT$,14 坪,45.1 年,5,2,高雄市,近商圈,
65,C30科工館站質感翻新三房,5980000 NT$,22.72 坪,44.4 年,5,3,高雄市,"採光佳, 宜收租, 裝潢美宅",
66,1113苓雅區✨英明商圈✨超便宜公寓2樓,4200000 NT$,22.1 坪,47.1 年,2,3,高雄市,"近輕軌站, 近學區, 近商圈",
67,正義車站優質公寓3房,4980000 NT$,20.35 坪,44.9 年,4,3,高雄市,近學區,
68,武廟雙捷運三房+平面車位,13800000 NT$,40.5 坪,40.1 年,1,3,高雄市,"平面車位, 免爬樓梯, 邊間, 近交流道",
69,光華商圈翻新一樓車庫美寓,13600000 NT$,23.31 坪,48.1 年,1,3,高雄市,"邊間, 免爬樓梯, 裝潢美宅, 大面寬, 近商圈",
70,凱旋輕軌三面採光3套房大公寓,5880000 NT$,24.27 坪,45 年,4,3,高雄市,"三面採光, 前後陽台, 永久棟距, 近學區, 格局方正",
71,文化中心美3房,4680000 NT$,18.61 坪,46.2 年,3,3,高雄市,,
72,衛武營全新翻修大3房,6380000 NT$,27.22 坪,45.8 年,5,3,高雄市,"廁所開窗, 雙衛浴, 裝潢美宅, 近學區",
73,輕軌環球影城四房邊間公寓一樓\t\t\t\t\t\t\t\t\t\t\t,14600000 NT$,21.21 坪,29.6 年,1,3,高雄市,"採光佳, 邊間, 免爬樓梯, 近商圈",
74,✨亞洲新灣區｜輕軌宅 ｜價格超甜✨ 4房美寓️,7580000 NT$,30.86 坪,36.5 年,4,4,高雄市,"近捷運, 近輕軌站, 近商圈",
75,✅極力推薦✅英明國中公寓一樓(有故事的房),7980000 NT$,19.51 坪,45.3 年,1,3,高雄市,免爬樓梯,
76,#SOGO新光三越三多商圈#鑽石雙店面,26800000 NT$,83.41 坪,44.2 年,2,4,高雄市,"雙衛浴, 採光佳, 裝潢美宅, 格局方正, 近商圈",
77,亞灣區一層一戶三房健身公寓,5850000 NT$,25.15 坪,36.7 年,5,3,高雄市,"廁所開窗, 一層一戶",
78,專約文化中心國泰面寬18米花園一樓頂級裝潢好停車,29800000 NT$,53.42 坪,53.1 年,1,3,高雄市,"平面車位, 景觀宅, 免爬樓梯, 裝潢美宅",
79,建國真便宜旁翻新漂亮3房健身美寓,4580000 NT$,20.01 坪,44.8 年,5,3,高雄市,"前後陽台, 採光佳, 裝潢美宅, 格局方正, 近商圈",
80,亞洲新灣區光榮碼頭輕軌旁 雙樓層已重整健身公寓,5980000 NT$,19.38 坪,53 年,4,3,高雄市,近商圈,
81,三多武慶商圈靚時尚裝潢公寓3房,6380000 NT$,27.21 坪,45.1 年,5,3,高雄市,"裝潢美宅, 近公園, 近商圈",
82,1113✨苓雅區✨輕軌旁公寓,4200000 NT$,22.1 坪,47.1 年,2,0,高雄市,,
83,文化中心~光華商圈~光華夜市翻新大面寬一樓車庫美,13600000 NT$,23.31 坪,47.9 年,1,3,高雄市,"邊間, 免爬樓梯, 裝潢美宅, 格局方正, 大面寬, 近商圈",
84,鐵賣獨家～方正大三房格局#採光美寓#近擊館捷運站,5680000 NT$,29.59 坪,44.4 年,4,3,高雄市,,
85,福東國小陽台進出面公園綠地超大三房平車,5980000 NT$,37.85 坪,41.4 年,5,3,高雄市,"景觀宅, 近捷運, 近公園",
86,✨亞洲新灣區｜輕軌宅 ｜價格超甜✨ 4房美寓️,7580000 NT$,30.86 坪,36.5 年,4,4,高雄市,"近捷運, 近輕軌站, 近商圈",
87,英明國中雙陽台採光3樓公寓,6580000 NT$,22.8 坪,46.1 年,3,3,高雄市,"廁所開窗, 前後陽台, 採光佳, 格局方正",
88,鄰近衛武營，散步就可到⚜️周圍商圈林立｜武慶 三多,6380000 NT$,27.21 坪,45.1 年,5,3,高雄市,"裝潢美宅, 近商圈, 格局方正, 廁所開窗, 房間皆有窗",
89,輕軌凱旋二聖站翻新面寬店住一樓+夾層,12600000 NT$,23.82 坪,43.7 年,1,3,高雄市,"廁所開窗, 雙衛浴, 免爬樓梯, 裝潢美宅",
90,武廟\/福德商圈4+5樓寧靜美公寓,3980000 NT$,14.74 坪,55.6 年,4,3,高雄市,近商圈,
91,正義車站優質公寓3房,4980000 NT$,20.35 坪,44.9 年,4,3,高雄市,近學區,
92,C30科工館站質感翻新三房,5980000 NT$,22.72 坪,44.4 年,5,3,高雄市,"採光佳, 宜收租, 裝潢美宅",
93,捷運商圈新整美寓,3880000 NT$,14 坪,45.1 年,5,2,高雄市,近商圈,
94,1113苓雅區✨英明商圈✨超便宜公寓2樓,4200000 NT$,22.1 坪,47.1 年,2,3,高雄市,"近輕軌站, 近學區, 近商圈",
